"status","bed","bath","acre_lot","city","state","zip_code","house_size","price"
"for_sale",4,4,1.39,"Westborough","Massachusetts",1581,3710,1250000
"for_sale",5,4,4.55,"Sutton","Massachusetts",1590,3718,980000
"for_sale",5,7,1.02,"Sudbury","Massachusetts",1776,7676,3698000
"for_sale",3.70101265822784,2.49459473852367,3.33,"Sutton","Massachusetts",1590,2180.08173730064,269000
"ready_to_build",4,2.49459473852367,13.613473315734,"Hopkinton","Massachusetts",1748,3863,1687995
"ready_to_build",4,2.49459473852367,13.613473315734,"Hopkinton","Massachusetts",1748,3406,1636995
"ready_to_build",4,2.49459473852367,13.613473315734,"Hopkinton","Massachusetts",1748,4053,1721995
"ready_to_build",4,2.49459473852367,13.613473315734,"Hopkinton","Massachusetts",1748,4747,1841995
"ready_to_build",4,2.49459473852367,13.613473315734,"Hopkinton","Massachusetts",1748,4574,1803995
"for_sale",5,7,1.38,"Wayland","Massachusetts",1778,6759,2749000
"for_sale",4,3,0.97,"Upton","Massachusetts",1568,3290,1054900
"for_sale",3.70101265822784,2.49459473852367,1.93,"Sutton","Massachusetts",1590,2180.08173730064,269000
"for_sale",3.70101265822784,2.49459473852367,1.84,"Sutton","Massachusetts",1590,2180.08173730064,269000
"for_sale",5,2,0.61,"Grafton","Massachusetts",1536,1892,350000
"for_sale",3,4,6.38,"Northbridge","Massachusetts",1588,3582,750000
"for_sale",4,4,0.46,"Concord","Massachusetts",1742,2831,1365000
"for_sale",3,4,1.29,"Uxbridge","Massachusetts",1569,2464,444900
"for_sale",1,1,0.25,"Upton","Massachusetts",1568,1278,365000
"for_sale",4,4,0.47,"Grafton","Massachusetts",1536,2784,5e+05
"for_sale",2,1,0.15,"Ashland","Massachusetts",1721,952,378000
"for_sale",3,2,0.62,"Southborough","Massachusetts",1772,1356,450000
"for_sale",3,2,0.25,"Southborough","Massachusetts",1772,1824,639900
"for_sale",6,4,0.49,"Northbridge","Massachusetts",1534,3168,575000
"for_sale",4,4,0.88,"Westborough","Massachusetts",1581,4190,1200000
"for_sale",5,3,1.03,"Framingham","Massachusetts",1701,2769,749900
"for_sale",2,2,13.613473315734,"Sudbury","Massachusetts",1776,1662,495000
"for_sale",6,11,2.17,"Sudbury","Massachusetts",1776,13946,4995000
"for_sale",4,3,0.9,"Framingham","Massachusetts",1701,3450,1399000
"for_sale",2,3,13.613473315734,"Sudbury","Massachusetts",1776,2422,672777
"for_sale",3.70101265822784,2.49459473852367,27.98,"Grafton","Massachusetts",1519,2180.08173730064,5e+05
"for_sale",2,2,13.613473315734,"Sudbury","Massachusetts",1776,1496,661285
"for_sale",2,3,53.42,"Upton","Massachusetts",1568,2224,609900
"for_sale",2,3,13.613473315734,"Upton","Massachusetts",1568,2121,635995
"for_sale",2,1,13.613473315734,"Northbridge","Massachusetts",1588,797,129900
"for_sale",3,1,0.68,"Southborough","Massachusetts",1772,1200,449000
"for_sale",4,4,1.49,"Westborough","Massachusetts",1581,4000,1249000
"for_sale",2,2,39.2,"Northbridge","Massachusetts",1588,1671,494900
"for_sale",4,3,0.42,"Milford","Massachusetts",1757,2104,499900
"for_sale",2,3,13.613473315734,"Sudbury","Massachusetts",1776,2121,834250
"for_sale",2,3,13.613473315734,"Framingham","Massachusetts",1701,2351,967128
"for_sale",2,3,13.613473315734,"Framingham","Massachusetts",1701,2482,909600
"for_sale",4,2,1.09,"Uxbridge","Massachusetts",1569,1596,425000
"for_sale",4,4,0.36,"Milford","Massachusetts",1757,2996,659900
"for_sale",3,3,21.67,"Grafton","Massachusetts",1536,1846,535000
"for_sale",3,2,0.16,"Ashland","Massachusetts",1721,1451,475000
"for_sale",3,2,1.56,"Framingham","Massachusetts",1701,1620,599000
"for_sale",3,2,13.613473315734,"Framingham","Massachusetts",1702,1650,375000
"for_sale",3,2,0.9,"Sudbury","Massachusetts",1776,2092,775000
"for_sale",3,2,0.04,"Framington","Massachusetts",1702,1650,375000
"for_sale",2,3,13.613473315734,"Southborough","Massachusetts",1772,2208,639000
"for_sale",5,2,1,"Westborough","Massachusetts",1581,2074,399000
"for_sale",4,5,1.24,"Southborough","Massachusetts",1772,5169,950000
"for_sale",5,4,1.15,"Westborough","Massachusetts",1581,3445,650000
"for_sale",4,2,0.42,"Westborough","Massachusetts",1581,2082,549900
"for_sale",5,4,0.56,"Framingham","Massachusetts",1702,5000,789900
"for_sale",4,4,0.86,"Southborough","Massachusetts",1772,3814,1339000
"for_sale",4,3,1.59,"Hopkinton","Massachusetts",1748,3030,850000
"for_sale",4,4,1.16,"Sudbury","Massachusetts",1776,4100,1090000
"for_sale",3,4,109.22,"Upton","Massachusetts",1568,4770,4795000
"for_sale",3,3,0.48,"Wayland","Massachusetts",1778,1894,780000
"for_sale",5,7,2,"Sudbury","Massachusetts",1776,9723,4398000
"for_sale",4,4,1.75,"Hopkinton","Massachusetts",1748,3900,1699900
"for_sale",3,3,13.613473315734,"Douglas","Massachusetts",1516,1705,489900
"for_sale",4,3,0.72,"Northbridge","Massachusetts",1588,2600,739900
"for_sale",3,1,0.42,"Westborough","Massachusetts",1581,1922,525000
"for_sale",5,6,1,"Sudbury","Massachusetts",1776,8795,2600000
"for_sale",6,4,0.2,"Ashland","Massachusetts",1721,2500,640000
"for_sale",3,2,0.23,"Framingham","Massachusetts",1702,1476,529000
"for_sale",5,5,1.44,"Concord","Massachusetts",1742,5780,3250000
"for_sale",3,2,0.21,"Framingham","Massachusetts",1702,1536,599900
"for_sale",3,2,0.67,"Northbridge","Massachusetts",1558,1680,419900
"for_sale",3,3,0.25,"Milford","Massachusetts",1757,2143,619900
"for_sale",3.70101265822784,2.49459473852367,7.55,"Weare","New Hampshire",3281,2180.08173730064,20000
"for_sale",4,5,1.36,"Southborough","Massachusetts",1772,4261,1395000
"for_sale",4,3,0.38,"Hopkinton","Massachusetts",1748,2124,599900
"for_sale",2,3,13.613473315734,"Hopkinton","Massachusetts",1748,2463,979900
"for_sale",3,2,0.46,"Concord","Massachusetts",1742,2003,995000
"for_sale",4,5,0.48,"Concord","Massachusetts",1742,3450,1548000
"for_sale",4,3,0.22,"Concord","Massachusetts",1742,2468,1489000
"for_sale",2,3,13.613473315734,"Sudbury","Massachusetts",1776,1854,889360
"for_sale",2,3,13.613473315734,"Sudbury","Massachusetts",1776,1858,893470
"for_sale",2,1,13.613473315734,"Uxbridge","Massachusetts",1569,1215,224000
"for_sale",2,3,13.613473315734,"Hopkinton","Massachusetts",1748,1805,899995
"for_sale",4,2,1.3,"Douglas","Massachusetts",1516,2167,475000
"for_sale",4,3,0.41,"Framingham","Massachusetts",1702,2819,649900
"for_sale",3,2,0.21,"Framingham","Massachusetts",1701,1532,499900
"for_sale",4,3,1,"Framingham","Massachusetts",1701,2868,875000
"for_sale",4,3,1.53,"Wayland","Massachusetts",1778,2684,975000
"for_sale",6,12,7.11,"Concord","Massachusetts",1742,12806,7200000
"for_sale",2,2,13.613473315734,"Framingham","Massachusetts",1701,980,349900
"for_sale",7,2,0.12,"Framingham","Massachusetts",1702,3308,799000
"for_sale",4,3,0.46,"Framingham","Massachusetts",1701,1934,679900
"for_sale",4,5,1.84,"Concord","Massachusetts",1742,5158,3200000
"for_sale",3,1,0.33,"Northborough","Massachusetts",1532,1649,439900
"for_sale",5,4,0.42,"Framingham","Massachusetts",1701,4279,899900
"for_sale",2,1,0.29,"Concord","Massachusetts",1742,1020,749900
"for_sale",4,2,0.85,"Westborough","Massachusetts",1581,1948,659000
"for_sale",3,2,0.4,"Westborough","Massachusetts",1581,2338,7e+05
"for_sale",4,3,1.88,"Upton","Massachusetts",1568,3020,899900
"for_sale",5,3,1.44,"Wayland","Massachusetts",1778,3504,1479000
"for_sale",3,3,0.14,"Framingham","Massachusetts",1702,2910,659900
"for_sale",3,2,3.77,"Northbridge","Massachusetts",1534,1728,349900
"for_sale",4,4,0.56,"Merrimack","New Hampshire",3054,2906,445000
"for_sale",3,1,1.32,"Northbridge","Massachusetts",1534,1092,329900
"for_sale",4,3,1.18,"Framingham","Massachusetts",1701,3436,699000
"for_sale",3,3,3.33,"Shrewsbury","Massachusetts",1545,2823,819900
"for_sale",3,3,0.11,"Hopkinton","Massachusetts",1748,2556,815000
"for_sale",3,2,0.21,"Framingham","Massachusetts",1701,1008,550000
"for_sale",4,2,0.34,"Ashland","Massachusetts",1721,1579,579900
"for_sale",3,3,0.23,"Framingham","Massachusetts",1701,2073,689900
"for_sale",5,4,1.15,"Hopkinton","Massachusetts",1748,5291,1579900
"for_sale",2,3,13.613473315734,"Ashland","Massachusetts",1721,2204,579000
"for_sale",5,7,4.76,"Wayland","Massachusetts",1778,8401,4975000
"for_sale",2,2,0.31,"Nashua","New Hampshire",3062,2016,647000
"for_sale",3,2,13.613473315734,"Northbridge","Massachusetts",1588,1216,270000
"for_sale",4,3,0.92,"Grafton","Massachusetts",1560,2578,670000
"for_sale",2,1,13.613473315734,"Northbridge","Massachusetts",1588,976,214900
"for_sale",3,4,13.613473315734,"Worcester","Massachusetts",1604,2674,459900
"for_sale",4,3,0.95,"Hopkinton","Massachusetts",1748,2060,675000
"for_sale",1,1,13.613473315734,"Framingham","Massachusetts",1701,658,197000
"for_sale",2,2,13.613473315734,"Sudbury","Massachusetts",1776,1496,696970
"for_sale",4,4,0.46,"Concord","Massachusetts",1742,4202,1750000
"for_sale",3,2,0.65,"Uxbridge","Massachusetts",1569,1878,399900
"for_sale",4,4,1.05,"Milford","Massachusetts",1757,3764,699900
"for_sale",2,1,0.56,"Grafton","Massachusetts",1560,793,249900
"for_sale",3,2,0.19,"Ashland","Massachusetts",1721,1084,469900
"for_sale",3,2,0.57,"Grafton","Massachusetts",1536,1498,475000
"for_sale",4,2,0.69,"Westborough","Massachusetts",1581,1829,6e+05
